singer,singerLabel
http://www.wikidata.org/entity/Q962604,चिप टेलर
http://www.wikidata.org/entity/Q963396,वैलेंटाइन एलिसाल्डे
http://www.wikidata.org/entity/Q1250743,अदनान सामी
http://www.wikidata.org/entity/Q981797,सुल्तान खान
http://www.wikidata.org/entity/Q984634,सिंगनल्लूर पुट्टस्वामैया मुत्तुराज राजकुमार
http://www.wikidata.org/entity/Q1362169,एग्नेस मोनिका
http://www.wikidata.org/entity/Q1362745,केविन लिटल
http://www.wikidata.org/entity/Q1387724,युवान शंकर राजा
http://www.wikidata.org/entity/Q1623076,ओक्साना फ़ेदरोवा
http://www.wikidata.org/entity/Q1391295,कैलाश खेर
http://www.wikidata.org/entity/Q1393912,टोनी रेबेल
http://www.wikidata.org/entity/Q1647148,कोसतास मरताकिस
http://www.wikidata.org/entity/Q1395430,हिमेश रेशमिया
http://www.wikidata.org/entity/Q1395448,कुन्दन लाल सहगल
http://www.wikidata.org/entity/Q1397628,ओ॰ पी॰ नय्यर
http://www.wikidata.org/entity/Q1660487,इमरान ख़ान (गायक)
http://www.wikidata.org/entity/Q1884754,महा चक्री सिरिनधर
http://www.wikidata.org/entity/Q1736480,सलमा आग़ा
http://www.wikidata.org/entity/Q1758790,एमीलिया वेगा
http://www.wikidata.org/entity/Q2097394,विष्णुवर्धन
http://www.wikidata.org/entity/Q2117321,किशोरी आमोनकर
http://www.wikidata.org/entity/Q1978163,निकोलाइ नोस्कोव
http://www.wikidata.org/entity/Q1827274,समीरा तेवफिक
http://www.wikidata.org/entity/Q2344606,सुखविंदर सिंह
http://www.wikidata.org/entity/Q2153541,जोहान वान बीथोवेन
http://www.wikidata.org/entity/Q2353139,असाला नासरी
http://www.wikidata.org/entity/Q2367593,मुकेश
http://www.wikidata.org/entity/Q2040478,रागेश्वरी
http://www.wikidata.org/entity/Q2547121,सुन लि
http://www.wikidata.org/entity/Q2724719,चित्रा सिंह
http://www.wikidata.org/entity/Q2725555,सती नूरलिजा
http://www.wikidata.org/entity/Q2732205,हेमंत कुमार
http://www.wikidata.org/entity/Q2391534,नादिया मीखर
http://www.wikidata.org/entity/Q2720141,इलैयाराजा
http://www.wikidata.org/entity/Q2722933,सुनिधी चौहान
http://www.wikidata.org/entity/Q2723913,सचिन देव बर्मन
http://www.wikidata.org/entity/Q2723980,फाल्गुनी पाठक
http://www.wikidata.org/entity/Q2724342,शुभा मुद्गल
http://www.wikidata.org/entity/Q2722967,अलीशा चिनॉय
http://www.wikidata.org/entity/Q2723290,पद्मश्री शारदा सिन्हा
http://www.wikidata.org/entity/Q2723854,पंकज उधास
http://www.wikidata.org/entity/Q2049688,एस॰ पी॰ बालासुब्रमण्यम
http://www.wikidata.org/entity/Q2735913,वीना मलिक
http://www.wikidata.org/entity/Q2737017,महेन्द्र कपूर
http://www.wikidata.org/entity/Q2044389,त्यागराज
http://www.wikidata.org/entity/Q2048734,बी॰ अरुंधति
http://www.wikidata.org/entity/Q2049494,शंकर महादेवन
http://www.wikidata.org/entity/Q2050197,पी सुशीला
http://www.wikidata.org/entity/Q2050320,ममता मोहनदास
http://www.wikidata.org/entity/Q2051336,वाणी जयराम
http://www.wikidata.org/entity/Q2049922,चिनमयी
http://www.wikidata.org/entity/Q2050056,साधना सरगम
http://www.wikidata.org/entity/Q2050135,एम॰ जी॰ श्रीकुमार
http://www.wikidata.org/entity/Q2050534,मोहनलाल
http://www.wikidata.org/entity/Q2050788,श्रेया घोषाल
http://www.wikidata.org/entity/Q2051231,हरिहरन
http://www.wikidata.org/entity/Q2051296,एस जानकी
http://www.wikidata.org/entity/Q2051710,एना कैथरीना वलाईल
http://www.wikidata.org/entity/Q2742292,विशाल भारद्वाज
http://www.wikidata.org/entity/Q2745300,बड़े गुलाम अली खां
http://www.wikidata.org/entity/Q2426558,जसराज
http://www.wikidata.org/entity/Q2602601,विष्णु दिगंबर पलुस्कर
http://www.wikidata.org/entity/Q2917376,मोहित चौहान
http://www.wikidata.org/entity/Q2784868,कौशिकी चक्रबर्ती
http://www.wikidata.org/entity/Q2787402,हलधर नाग
http://www.wikidata.org/entity/Q2821596,अभिजीत
http://www.wikidata.org/entity/Q3085728,पार्वती सोमन
http://www.wikidata.org/entity/Q3190751,जेरेमी गेब्रियल
http://www.wikidata.org/entity/Q3200364,कुमार सानु
http://www.wikidata.org/entity/Q2843494,उस्ताद अमीर खान
http://www.wikidata.org/entity/Q3107617,गिरिजा देवी
http://www.wikidata.org/entity/Q2645613,बायरन ली
http://www.wikidata.org/entity/Q3124846,सिद्धार्थ
http://www.wikidata.org/entity/Q3125946,हाफ पिंट
http://www.wikidata.org/entity/Q2879782,रूपम इस्लाम
http://www.wikidata.org/entity/Q2880506,एम. बालामुरलीकृष्ण
http://www.wikidata.org/entity/Q2679233,यो यो हनी सिंह
http://www.wikidata.org/entity/Q2892422,पन्नालाल भट्टाचार्य
http://www.wikidata.org/entity/Q3272944,नेहा भसीन
http://www.wikidata.org/entity/Q3274295,मचेल मोन्टानो
http://www.wikidata.org/entity/Q3494314,वसुंधरा दास
http://www.wikidata.org/entity/Q3345399,बप्पी लाहिड़ी
http://www.wikidata.org/entity/Q3346448,शान
http://www.wikidata.org/entity/Q3038629,ब्रावो
http://www.wikidata.org/entity/Q3288794,उषा मंगेशकर
http://www.wikidata.org/entity/Q3498996,जूनियर एनटिआर
http://www.wikidata.org/entity/Q3500793,आयला आलगन
http://www.wikidata.org/entity/Q3347343,रामप्रसाद सेन
http://www.wikidata.org/entity/Q3347885,पंकज मलिक
http://www.wikidata.org/entity/Q3349252,अनूप जलोटा
http://www.wikidata.org/entity/Q3351688,कानन देवी
http://www.wikidata.org/entity/Q3181097,सुरेश वाडेकर
http://www.wikidata.org/entity/Q3181884,मल्लिकार्जुन बी मंसूर
http://www.wikidata.org/entity/Q3368586,अमन हेयर
http://www.wikidata.org/entity/Q3518417,मल्लिका साराभाई
